student_id,entry_term,college,major,stem,first_gen,pell_eligible,works_20plus_hrs,hs_gpa,fall25_credits_attempted,fall25_credits_earned,fall25_gpa,gateway_math_grade,lms_logins_first4wks,advising_visits_ay25,spring26_gpa,cumulative_gpa,retained_fall26,class_level_fall26
LU25000,Fall 2025,Business,Marketing,0,0,1,1,3.97,16,16,3.88,,5,1,3.41,3.64,1,Sophomore
LU25001,Fall 2025,Education,Elementary Education,0,1,1,1,3.53,15,15,2.36,,69,1,2.08,2.22,1,Sophomore
LU25002,Fall 2025,Nursing & Health,Public Health,0,0,0,1,3.33,15,15,2.97,,62,1,3.38,3.17,1,Sophomore
LU25003,Fall 2025,Arts & Sciences,Chemistry,1,0,1,1,3.44,12,12,3.39,B,51,1,3.37,3.38,1,Sophomore
LU25004,Fall 2025,Arts & Sciences,Psychology,0,0,1,1,4.0,14,14,3.85,,121,0,4.0,3.92,1,Sophomore
LU25005,Fall 2025,Education,Secondary Education,0,0,0,0,3.9,15,15,3.01,B,107,1,3.47,3.24,1,Sophomore
LU25006,Fall 2025,Arts & Sciences,Economics,0,1,0,0,3.65,15,15,4.0,,33,2,3.63,3.81,1,Sophomore
LU25007,Fall 2025,Nursing & Health,Nursing,1,0,0,1,3.38,17,17,3.5,A,80,2,3.55,3.52,1,Sophomore
LU25008,Fall 2025,Nursing & Health,Kinesiology,1,1,1,1,3.05,16,16,3.32,B,111,1,3.39,3.36,1,Sophomore
LU25009,Fall 2025,Engineering,Civil Engineering,1,0,1,1,4.0,15,15,3.02,C,133,1,3.36,3.19,1,Sophomore
LU25010,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.68,16,16,3.07,C,160,0,3.06,3.07,1,Sophomore
LU25011,Fall 2025,Arts & Sciences,Mathematics,1,1,0,0,2.86,12,12,1.54,D,83,2,0.33,0.94,0,Not enrolled
LU25012,Fall 2025,Arts & Sciences,English,0,0,0,0,3.06,15,12,1.97,C,69,2,1.69,1.83,1,Sophomore
LU25013,Fall 2025,Engineering,Electrical Engineering,1,0,0,0,3.38,13,10,2.06,,79,1,1.91,1.99,1,Freshman
LU25014,Fall 2025,Engineering,Mechanical Engineering,1,0,0,1,3.52,15,15,2.85,C,83,0,2.39,2.62,0,Not enrolled
LU25015,Fall 2025,Engineering,Computer Science,1,0,1,1,3.59,13,13,2.7,C,49,0,3.28,2.99,1,Sophomore
LU25016,Fall 2025,Undeclared,Undeclared,0,0,0,0,3.72,13,13,2.76,,43,0,2.07,2.41,1,Sophomore
LU25017,Fall 2025,Nursing & Health,Kinesiology,1,0,1,1,3.22,15,12,1.65,W,42,1,1.03,1.34,0,Not enrolled
LU25018,Fall 2025,Business,Marketing,0,0,0,0,3.57,16,16,3.84,A,99,3,3.43,3.64,1,Sophomore
LU25019,Fall 2025,Undeclared,Undeclared,0,1,0,0,3.55,12,12,2.54,F,81,2,2.27,2.41,1,Sophomore
LU25020,Fall 2025,Arts & Sciences,Economics,0,0,0,0,3.16,16,16,3.39,C,86,1,3.13,3.26,1,Sophomore
LU25021,Fall 2025,Arts & Sciences,Economics,0,0,0,0,3.79,16,16,3.17,A,163,2,3.04,3.11,1,Sophomore
LU25022,Fall 2025,Business,Finance,0,0,0,1,3.5,16,16,2.92,B,65,1,3.13,3.03,1,Sophomore
LU25023,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.78,16,16,2.42,F,30,0,1.66,2.04,1,Sophomore
LU25024,Fall 2025,Arts & Sciences,Psychology,0,0,0,1,3.69,16,16,2.26,D,30,2,,2.26,0,Not enrolled
LU25025,Fall 2025,Engineering,Mechanical Engineering,1,0,0,0,4.0,17,17,2.51,F,70,1,2.75,2.63,1,Sophomore
LU25026,Fall 2025,Engineering,Electrical Engineering,1,0,0,0,3.35,16,16,2.48,,58,2,2.55,2.51,1,Sophomore
LU25027,Fall 2025,Education,Secondary Education,0,1,1,0,4.0,14,14,3.48,,52,2,3.7,3.59,1,Sophomore
LU25028,Fall 2025,Business,Marketing,0,1,0,1,3.8,16,16,2.29,W,119,0,1.89,2.09,1,Sophomore
LU25029,Fall 2025,Engineering,Electrical Engineering,1,0,0,0,3.52,16,16,3.16,,64,1,2.86,3.01,1,Sophomore
LU25030,Fall 2025,Engineering,Civil Engineering,1,0,0,0,2.64,16,16,1.35,W,111,3,,1.35,0,Not enrolled
LU25031,Fall 2025,Arts & Sciences,English,0,0,0,0,3.57,16,16,2.67,B,79,1,3.49,3.08,1,Sophomore
LU25032,Fall 2025,Arts & Sciences,Economics,0,1,0,0,3.56,13,13,2.49,B,84,0,2.87,2.68,1,Sophomore
LU25033,Fall 2025,Arts & Sciences,Chemistry,1,0,0,0,3.33,15,15,2.52,C,99,2,2.74,2.63,1,Sophomore
LU25034,Fall 2025,Business,Finance,0,1,1,1,3.69,15,15,2.76,C,62,0,2.43,2.59,1,Sophomore
LU25035,Fall 2025,Arts & Sciences,Mathematics,1,1,1,0,3.95,15,15,2.78,F,49,3,2.15,2.47,0,Not enrolled
